gene,drug_id,rho,pvalue,n_lines,fdr,name
HDLBP,BRD-K04853698-376-01-4,-0.17325892363722162,2.4728754083831603e-07,876,3.866990769753193e-07,LDN193189
CD79B,BRD-A25988899-001-01-6,-0.17325344035591003,2.4750663565797085e-07,876,3.8693813301659496e-07,tenofovir-alafenamide
SPI1,BRD-K55790047-001-02-9,-0.17325016330720708,2.476376656621813e-07,876,3.871170839312756e-07,ON-01500
NAV2,BRD-K00003203-001-01-9,-0.17324980341682217,2.3996165583588595e-07,878,3.765785147516502e-07,BMS-214662
PLCG2,BRD-K00003112-001-01-9,-0.17324770062733738,2.400433425686244e-07,878,3.7668141550381965e-07,GDC-0575
ZFP36L1,BRD-K38018935-001-01-1,-0.17323853954220705,2.481029716902702e-07,876,3.8768888509360135e-07,OTS514
GRHL2,BRD-K00003515-003-01-9,-0.17321394517260283,2.413583118874363e-07,878,3.7851616892123473e-07,AZ7550
PIK3CD,BRD-K00003334-001-01-9,-0.17320766704794474,2.4160364600155794e-07,878,3.7885007811797464e-07,sincalide
TXLNG,BRD-K00003432-001-01-9,-0.1732020486626831,2.616567172746799e-07,873,4.06054928389695e-07,EDO-S101
PPM1D,BRD-K00003499-001-01-9,-0.17317706790102477,2.428028343518033e-07,878,3.804497079961348e-07,adavivint
UBE2J1,BRD-K00003099-001-01-9,-0.1731734946571784,2.429432444204628e-07,878,3.8061868270512514e-07,PLX51107
TFDP1,BRD-K00003156-066-01-9,-0.17316624527087546,2.4322834857674704e-07,878,3.809887382169916e-07,eribulin
PIM2,BRD-K00010388-001-01-9,-0.17316113046239132,2.434296980877416e-07,878,3.812530257794477e-07,PTC-028
NFATC2,BRD-K00073067-001-02-9,-0.17313970881270455,3.3477579219457196e-07,858,5.053203187271722e-07,Artelinic acid
SPI1,BRD-K39576764-071-01-6,-0.17312259710783603,2.527906006819962e-07,876,3.941705196570562e-07,mivobulin
TCF4,BRD-K19958299-001-02-9,-0.17311950918257513,2.529166078206169e-07,876,3.9428808417712497e-07,TCS-2210
KAT6B,BRD-K00003316-001-01-9,-0.17311683021280025,2.4518035988152477e-07,878,3.8368633218285885e-07,eldecalcitol
EIF4A1,BRD-K75958547-238-04-9,-0.173109867567178,2.6556601097939015e-07,873,4.114283977601953e-07,pitavastatin
CD19,BRD-K60476892-001-17-9,-0.1730735743207363,2.5479821172424425e-07,876,3.967450902344461e-07,YC-1
PIM2,BRD-K31144453-001-03-9,-0.17305789624499557,2.554435083360296e-07,876,3.9761742769428466e-07,AC-261066
CD79B,BRD-K00003222-001-01-9,-0.17305085214784058,2.4781021428575316e-07,878,3.8730910313539003e-07,tradipitant
FAM83H,BRD-K00003164-001-01-9,-0.17301871394813417,2.491010599841748e-07,878,3.8911843162345495e-07,oglufanide
IKZF3,BRD-M01344114-348-01-0,-0.17301593534554635,2.571783468482102e-07,876,4.0002477855293276e-07,threo-2-methylisocitrate-(DL)
BATF3,BRD-K00003316-001-01-9,-0.17298668336639125,2.503940337742076e-07,878,3.908769274225742e-07,eldecalcitol
MYC,BRD-K00073937-001-02-9,-0.17297367519972384,3.4368031293057696e-07,858,5.175244039567969e-07,RP-54745
ERBB2,BRD-K00003164-001-01-9,-0.17297094657820158,2.5103164699274906e-07,878,3.9171529266354193e-07,oglufanide
CD44,BRD-K00003376-001-01-9,-0.1729655636867647,2.5125010674830484e-07,878,3.9202777960498496e-07,TAK-243
GLI1,BRD-K71500795-003-02-9,-0.17296483986424263,2.718307073242199e-07,873,4.199647865931827e-07,TAK-659
AFF2,BRD-K45044657-001-01-4,-0.17295322240200225,2.5979235711315746e-07,876,4.0358039019266977e-07,TC-H-106
DOCK5,BRD-K00003203-001-01-9,-0.17295148031535712,2.5182253523105187e-07,878,3.9279206443006836e-07,BMS-214662
GFI1,BRD-K41415459-300-02-9,-0.17294819263155026,2.600031149585796e-07,876,4.0385411064078703e-07,RN-1
MED13L,BRD-K00003388-001-01-9,-0.17294667334882854,2.7262540842023405e-07,873,4.2094213157149436e-07,CXD101
SLC25A37,BRD-K00003354-001-01-9,-0.1729412133329103,2.7286469635964385e-07,873,4.212837682202138e-07,cinobufotalin
CCND1,BRD-K00003431-001-01-9,-0.17293372299867887,2.525460865625081e-07,878,3.9384180524047103e-07,ziritaxestat
NARF,BRD-K27677357-003-04-9,-0.1729250059573923,2.7357618599598403e-07,873,4.2229856806671545e-07,ruboxistaurin
CD79A,BRD-M01344114-348-01-0,-0.17291801506679005,2.6127108393221267e-07,876,4.0558101578531314e-07,threo-2-methylisocitrate-(DL)
IGF1R,BRD-K00003223-003-01-9,-0.17291616459988032,2.7396506753951076e-07,873,4.2284300062956123e-07,amiselimod
ERBB2,BRD-K00093437-001-01-9,-0.17289650423567085,3.4789633324424547e-07,858,5.233335328946712e-07,Elexacaftor
TNFRSF12A,BRD-K00004647-001-01-9,-0.17288657767744633,2.7527030943235723e-07,873,4.245771577940377e-07,NB-001
DDX6,BRD-K30233223-001-04-9,-0.17288079497132017,2.547146397739147e-07,878,3.9664138588819603e-07,A-485
EGFR,BRD-K20484910-001-16-9,-0.17287499861895445,2.6308881547832204e-07,876,4.081045858737202e-07,ampyrone
TBX2,BRD-K67013324-001-04-9,-0.17285670524113406,2.6386552263382073e-07,876,4.0903793825015975e-07,luzindole
SLC38A5,BRD-K00003316-001-01-9,-0.17285344226537547,2.558423541383116e-07,878,3.981410363640811e-07,eldecalcitol
PAX5,BRD-K00003111-001-01-9,-0.1728533048212426,2.558480329091278e-07,878,3.981410363640811e-07,BOS-172722
CIRBP,BRD-K00077971-001-02-9,-0.1728429025704446,3.5085399206563777e-07,858,5.273414471098447e-07,BAY-85-8501
SLC25A37,BRD-K89899948-001-01-7,-0.17282063315735482,2.7820109348757306e-07,873,4.2861674073774274e-07,AI-10-49
CHD7,BRD-K00003114-001-01-9,-0.17281641032142167,2.5737680421871835e-07,878,4.002535543415986e-07,C188-9
FADD,BRD-K00075280-001-02-9 - QC Failure,-0.17281089742439182,3.5263152386299155e-07,858,5.296724920132287e-07,ethyl 10-(4-iodophenyl)undecanoate - QC Failure
CD79A,BRD-K00005329-074-01-9,-0.17280649191211958,2.577892863168088e-07,878,4.008416738604521e-07,levamlodipine
CCNE1,BRD-K97840621-001-02-9,-0.17280424837722494,2.5788267774521477e-07,878,4.0096021449315856e-07,API-1
ELOVL1,BRD-K11848003-001-17-9,-0.17279698382351685,3.534069736069137e-07,858,5.307349345974932e-07,Zearalanol
GRHL2,BRD-K00084310-001-02-9 - QC Failure,-0.172788723369596,3.5386813230232266e-07,858,5.31290935194314e-07,TNO155 - QC Failure
NFIB,BRD-K00003343-001-01-9,-0.17278452815401793,2.587049746420365e-07,878,4.020898675366718e-07,VLX1570
PLCG2,BRD-K00090638-001-01-9 - QC Failure,-0.17277897816443702,3.5441292614208685e-07,858,5.318384376468589e-07,TAK-981 - QC Failure
MEN1,BRD-K00003396-001-01-9,-0.1727734570787445,2.5916772558985867e-07,878,4.026903392159405e-07,CEP-40783
ZEB2,BRD-K00003417-001-01-9,-0.17277276665042626,2.803472525002213e-07,873,4.315250253842975e-07,MRX-2843
SMIM19,BRD-K00003305-001-01-9,-0.1727681535453747,2.5938968636361475e-07,878,4.0298163717697444e-07,BMS-779788
MAFK,BRD-K83982397-001-06-9,-0.17274811558980713,3.5614359826078756e-07,858,5.342954091116969e-07,2-Benzyl-4-chlorophenol
POU2F2,BRD-K00003236-001-01-9,-0.17273376372619617,2.608334057745799e-07,878,4.049962889458399e-07,firsocostat
ZEB2,BRD-K00091286-001-01-9,-0.17272202907450873,3.5761279211168267e-07,858,5.362585767505612e-07,Batabulin
FADD,BRD-K00003533-001-01-9,-0.1727086541639725,2.8324684225106795e-07,873,4.3541470646487506e-07,BAY-1251152
CCNB1IP1,BRD-K00004722-001-01-9,-0.17269675781643762,2.837880443135322e-07,873,4.361892786857736e-07,LY3295668
CIRBP,BRD-K00003396-001-01-9,-0.17267469523495438,2.6333126328877676e-07,878,4.0838596293024e-07,CEP-40783
PIK3CD,BRD-K00003344-001-01-9,-0.1726743437106446,2.633461971798938e-07,878,4.0838596293024e-07,incyclinide
PHLDB2,BRD-K00089577-001-01-9 - QC Failure,-0.17267360234265214,3.603556849733606e-07,858,5.398867352049605e-07,Avilamycin A - QC Failure
IRF4,BRD-K00003293-001-01-9,-0.17265302177489902,2.8578631630303445e-07,873,4.3894314152819354e-07,mertansine
BATF3,BRD-K00091286-001-01-9,-0.1726466481504344,3.61891141091213e-07,858,5.419439834422906e-07,Batabulin
NUMB,BRD-K00003273-003-01-9,-0.17263402275528086,2.6506459171307145e-07,878,4.107332518410068e-07,cbl0137
IRF4,BRD-K00003285-001-01-9,-0.17262467130869816,2.6546467254049824e-07,878,4.112986626858817e-07,nemiralisib
PIAS4,BRD-K00003173-001-01-9,-0.17260729648672624,2.6620956208901845e-07,878,4.123160957683591e-07,SJG-136
MEN1,BRD-K55790047-001-02-9,-0.17258843801449467,2.7551283071009123e-07,876,4.2489514215481704e-07,ON-01500
ME2,BRD-K00090647-001-01-9,-0.17258425827661714,3.654694237652835e-07,858,5.466371030489061e-07,Senaparib
ERBB2,BRD-K00077266-001-02-9,-0.17257443159903427,3.660361171440578e-07,858,5.473446020403659e-07,CCR2 antagonist 3
TKT,BRD-K00084847-001-01-9,-0.17257071145836,3.662508742831836e-07,858,5.475956649019043e-07,Pyriproxyfen
BCAR3,BRD-K30177383-001-02-9,-0.17256799533943384,2.764204299483196e-07,876,4.2615424068285797e-07,dalbavancin
GRHL2,BRD-K05653025-001-02-9,-0.17255808946921763,2.768612598304301e-07,876,4.2680570969967764e-07,NHI-2
DYRK1A,BRD-K00003122-001-01-9,-0.17254084212960072,2.6907721737861344e-07,878,4.163162137278534e-07,prinomastat
HDLBP,BRD-K00077939-001-02-9,-0.17254058388799773,3.679945636439148e-07,858,5.498509743949352e-07,Gemcabene
UBE2J1,BRD-K88554883-001-03-2,-0.1725321587276984,2.7801843847571096e-07,876,4.2839180802045863e-07,ON123300
E2F3,BRD-K18637542-001-01-7,-0.17252973160806542,2.695595584240054e-07,878,4.1689690308932335e-07,dihydroxyacetone
FOSL1,BRD-K00077939-001-02-9,-0.17252642300427257,3.6881691171415027e-07,858,5.508332072709515e-07,Gemcabene
CIRBP,BRD-K13223831-003-02-9,-0.17252636993101525,2.782774037832606e-07,876,4.28687206424549e-07,A-438079
RAB11FIP3,BRD-K00004693-001-01-9,-0.1725167941804313,2.701222615201959e-07,878,4.176289935999218e-07,furvina
POU2F2,BRD-K00003112-001-01-9,-0.17249668246079544,2.70999254127173e-07,878,4.189017571071619e-07,GDC-0575
MEN1,BRD-K00003222-001-01-9,-0.17248122924865555,2.7167497206492214e-07,878,4.1980743451909817e-07,tradipitant
ANKHD1,BRD-K00003569-003-01-9,-0.172471276058387,2.7211105200198335e-07,878,4.2025900399063993e-07,omadacycline
SNAI2,BRD-K00003273-003-01-9,-0.17246695237025012,2.7230069629612257e-07,878,4.2049632466686337e-07,cbl0137
SYK,BRD-K00090632-066-01-9 - QC Failure,-0.17246232808732556,3.725612130917111e-07,858,5.557506173333847e-07,AST2818 (mesylate) - QC Failure
TCF7L2,BRD-K00078302-075-02-9 - QC Failure,-0.17243300308975731,3.7428650827184716e-07,858,5.578969560796946e-07,Elubrixin (tosylate) - QC Failure
ANKHD1,BRD-K34362291-001-02-9,-0.17242838453195095,2.826962845663259e-07,876,4.346827344002743e-07,TC-S-7003
MYC,BRD-K00091290-001-01-9,-0.17240980832554,3.756565889530056e-07,858,5.597606501121866e-07,TAS4464
E2F3,BRD-K00004726-001-01-9,-0.1724050486135703,2.9737508453024865e-07,873,4.5438353004974965e-07,ametantrone
RAC1,BRD-K00003203-001-01-9,-0.1724041612070848,2.7506922821238805e-07,878,4.243607050953753e-07,BMS-214662
ALDH3A1,BRD-K00084310-001-02-9 - QC Failure,-0.1724009229458803,3.76182714158726e-07,858,5.604731558180496e-07,TNO155 - QC Failure
TFAP2A,BRD-K00003376-001-01-9,-0.17239010009094424,2.756929071323741e-07,878,4.251448024213412e-07,TAK-243
ATP5F1B,BRD-K00090635-001-01-9,-0.17235627096205677,3.7883743343356845e-07,858,5.639251317883805e-07,DM4
CLTB,BRD-K00075280-001-02-9 - QC Failure,-0.17235556784633996,3.788793801524154e-07,858,5.639516541155428e-07,ethyl 10-(4-iodophenyl)undecanoate - QC Failure
SLC38A5,BRD-K00090652-315-01-9 - QC Failure,-0.1723505792105481,3.791771224168712e-07,858,5.643588935316254e-07,ELX-02 (disulfate) - QC Failure
RHOG,BRD-K04853698-376-01-4,-0.17235027313034582,2.8626728382052603e-07,876,4.396240855150361e-07,LDN193189
POU2F2,BRD-K41141507-001-18-9,-0.17234997450559997,3.000097160829613e-07,873,4.5810970105128524e-07,cyproterone-acetate
SPHK2,BRD-K00003375-004-01-9,-0.17234192407826454,2.7784010220716727e-07,878,4.282129989999548e-07,visomitin
AFF2,BRD-K39576764-071-01-6,-0.17233715073976066,2.868714475963512e-07,876,4.404650816727053e-07,mivobulin
PIK3CD,BRD-K70642949-001-03-7,-0.1723320200962961,2.782835142851813e-07,878,4.28687206424549e-07,
MEF2C,BRD-K00003412-300-01-9,-0.17232398848367886,2.786435992437393e-07,878,4.2918533027050706e-07,trilaciclib
PIK3CD,BRD-K00003285-001-01-9,-0.17231363447437362,2.7910846814540323e-07,878,4.298163746125298e-07,nemiralisib
CD96,BRD-K00003515-003-01-9,-0.17230592034576828,2.7945529902806933e-07,878,4.3029377751393614e-07,AZ7550
KLF5,BRD-K00003232-001-01-9,-0.17228318548791602,2.8047988755298657e-07,878,4.3170075284085623e-07,fevipiprant
MAFF,BRD-K00003376-001-01-9,-0.1722721873868207,2.809768362020279e-07,878,4.3240867950969886e-07,TAK-243
PXN,BRD-K00003470-001-01-9,-0.1722703142916469,3.0386034034103006e-07,873,4.6353527018148647e-07,Neu2000
FGFR1,BRD-K00071586-001-01-9,-0.17225850467897008,3.8471315190574705e-07,858,5.718106819502144e-07,flutemetamol
MAFF,BRD-K00077266-001-02-9,-0.1722547522341596,3.849404129367498e-07,858,5.7202615279487e-07,CCR2 antagonist 3
GRHL2,BRD-K00003164-001-01-9,-0.17225466761738292,2.8177021971251894e-07,878,4.334013540717995e-07,oglufanide
PPM1D,BRD-K33457401-001-02-9,-0.17225037397538542,2.908977611955688e-07,876,4.458562839965135e-07,bronopol
NAV2,BRD-K00090642-001-01-9 - QC Failure,-0.17223738309050604,3.8599403412768333e-07,858,5.734460059517045e-07,Paliperidone palmitate - QC Failure
PIM2,BRD-K30233223-001-04-9,-0.17223091999141374,2.828490805553321e-07,878,4.348890672152636e-07,A-485
KAT6B,BRD-K47983010-001-15-3,-0.17219705351475173,2.8439453522791916e-07,878,4.3700651396100766e-07,BX-795
MEN1,BRD-K18530250-001-02-9,-0.17219603085209456,2.9344688295258166e-07,876,4.4929188001098846e-07,Mps-BAY-2a
SPI1,BRD-K00076620-001-02-9,-0.17219166132865385,3.887808381151611e-07,858,5.772559398022709e-07,CE-245677
CCND1,BRD-K00078302-075-02-9 - QC Failure,-0.17217770636483037,3.896352658504106e-07,858,5.784510851461472e-07,Elubrixin (tosylate) - QC Failure
EIF2D,BRD-K00003114-001-01-9,-0.17217711805030703,2.853080684670907e-07,878,4.3829500303752094e-07,C188-9
POU2F2,BRD-K27677357-003-04-9,-0.17217516255859758,3.0852225017359725e-07,873,4.697577870395645e-07,ruboxistaurin
PPM1D,BRD-K64452997-001-02-9,-0.17217179927396498,2.8555227654831583e-07,878,4.386413281292959e-07,HA-130
POU3F2,BRD-K75958547-238-04-9,-0.17216587035796244,3.0898119397805046e-07,873,4.7037523780792553e-07,pitavastatin
BCL2L1,BRD-K00004690-001-01-9,-0.1721480793573998,2.8664381617834374e-07,878,4.401444893055811e-07,SKLB-1028
ERBB2,BRD-K69191882-065-01-6,-0.17213929859346966,2.9613104368358737e-07,876,4.52737813463893e-07,guanidinoethyldisulfide-bicarbonate
PAX5,BRD-K00003112-001-01-9,-0.1721334319597821,2.8731986567131786e-07,878,4.410956319278798e-07,GDC-0575
CCND1,BRD-K00091071-001-01-9,-0.17213336378988414,3.923622738560058e-07,858,5.821298206413107e-07,PF-06952229
CIRBP,BRD-K42325600-001-01-8,-0.172119484788002,2.879650247785493e-07,878,4.4199898595417704e-07,AR-C155858
BCL2,BRD-K00005244-001-01-9,-0.1721155196401053,3.1147949257756735e-07,873,4.7387894370446585e-07,CCT196969
CIRBP,BRD-K58726989-001-02-7,-0.17209875891702797,2.8892632881590417e-07,878,4.4324162501380453e-07,HTH-01-015
EGFR,BRD-K11848003-001-17-9,-0.17208761676828574,3.95194917465666e-07,858,5.857747089680077e-07,Zearalanol
FAM120A,BRD-K00004573-001-01-9,-0.1720773617110717,2.899220158975289e-07,878,4.4456484421710053e-07,RG7834
CD19,BRD-K30421675-001-04-9,-0.17205111351168942,3.1470358400644837e-07,873,4.779862337794848e-07,JNJ-64619178
SPINT2,BRD-K00010386-001-01-9,-0.17203848370437808,2.917396175724878e-07,878,4.470000224140674e-07,RMC-4550
ARHGAP45,BRD-K00003098-001-01-9,-0.17202417769238595,2.9241120457895605e-07,878,4.478822120335121e-07,IDF-11774
BCL2,BRD-K00004610-001-01-9,-0.17200985490323537,3.1678581558570717e-07,873,4.807426843626484e-07,entasobulin
CIRBP,BRD-K00003360-001-01-9,-0.17200522655404804,2.933031493114482e-07,878,4.491111434890586e-07,CPI-1205
TMEM259,BRD-K11848003-001-17-9,-0.17198456207875756,4.0164838895912143e-07,858,5.939466084626755e-07,Zearalanol
SLC38A5,BRD-K53114651-001-12-7,-0.1719690681290953,3.0432792873373014e-07,876,4.6418797561605044e-07,azaguanine-8
DOCK5,BRD-A45499626-001-04-9,-0.17196808026504054,3.04376128336185e-07,876,4.642311975641684e-07,UBP-296
SBF1,BRD-K00004693-001-01-9,-0.17196614797468857,2.9515068965513404e-07,878,4.5153496683331804e-07,furvina
PPM1D,BRD-K30233223-001-04-9,-0.1719586362280542,2.95507109976706e-07,878,4.5197252629903624e-07,A-485
MYB,BRD-K00003220-001-01-9,-0.17194326246239286,2.962378644564918e-07,878,4.528295396918994e-07,acumapimod
CCNB1IP1,BRD-K00003402-001-01-9,-0.17193674968817338,3.2050792702857233e-07,873,4.858549273908284e-07,T-807
PXN,BRD-K11848003-001-17-9,-0.1719236549387414,4.055101032902224e-07,858,5.990129019149967e-07,Zearalanol
IGF1R,BRD-K00003343-001-01-9,-0.17191947356180542,2.9737204614754714e-07,878,4.5438353004974965e-07,VLX1570
BLNK,BRD-K00090644-001-01-9,-0.17190815877801607,4.064983034989222e-07,858,6.002829563010557e-07,Dexamethasone palmitate
GLI1,BRD-K00004624-001-01-9,-0.1718987122167921,3.2246121860918886e-07,873,4.884357486282542e-07,CJ-13610
GLI1,BRD-K00003417-001-01-9,-0.17189562789947946,3.2262010564937635e-07,873,4.886130838023084e-07,MRX-2843
CCNB1IP1,BRD-K00077460-001-02-9,-0.17189107305515391,4.075905597087737e-07,858,6.015538369230525e-07,Ilorasertib
TGIF1,BRD-K00003343-001-01-9,-0.17188761950991532,2.988973062903377e-07,878,4.564707163236914e-07,VLX1570
TKT,BRD-K38018935-001-01-1,-0.17185223396193716,3.100797889775092e-07,876,4.719448312048936e-07,OTS514
IKZF3,BRD-K00003388-001-01-9,-0.17183742761888876,3.2563244658868045e-07,873,4.928878661790454e-07,CXD101
SIK3,BRD-K00003271-001-01-9,-0.17183471316367607,3.0144728698210934e-07,878,4.601545288580667e-07,JD-5037
BCAR3,BRD-K00073895-001-02-9,-0.17183199666440263,4.113890226651705e-07,858,6.061298446157854e-07,GW7604
MECOM,BRD-K00004689-001-01-9,-0.17183043339508997,3.016544776011782e-07,878,4.6043921028766875e-07,GSK239512
PAX5,BRD-K00003114-001-01-9,-0.1718247853917914,3.019281168274797e-07,878,4.6079822035339273e-07,C188-9
ITGB5,BRD-K00003301-001-01-9,-0.1718036948460488,3.273907830844332e-07,873,4.951965688745387e-07,ASP-9521
ATP5F1A,BRD-K00068629-001-02-9,-0.17178789359852778,4.142469425359065e-07,858,6.098083225218243e-07,CBP/p300-IN-4
MYC,BRD-A25043798-001-02-9,-0.17177639737249617,3.1386922699760596e-07,876,4.769260336924569e-07,casin
SLC38A5,BRD-K94659840-001-02-9,-0.1717730532880865,3.044456349604052e-07,878,4.642864111996931e-07,pyrintegrin
CD81,BRD-K04853698-376-01-4,-0.17176495316467336,3.144449385558513e-07,876,4.776865195922883e-07,LDN193189
RBFOX2,BRD-K00003301-001-01-9,-0.17174807081985424,3.303102132013709e-07,873,4.991601126951016e-07,ASP-9521
AFF2,BRD-K00029607-334-02-9,-0.1717409731093348,4.173084251661489e-07,858,6.136873159871159e-07,Netarsudil mesylate
SMARCA4,BRD-K27040396-051-02-9,-0.17173254245247024,3.06431189680123e-07,878,4.669724348845495e-07,CFI-400945
RBFOX2,BRD-K00073895-001-02-9,-0.17172949029968093,4.1806097158382953e-07,858,6.14677971052923e-07,GW7604
MAFK,BRD-K00003106-001-01-9,-0.17172142465106688,3.3171761115994203e-07,873,5.010277890674786e-07,AZD4573
CCNB1IP1,BRD-K00003187-236-01-9,-0.1717017125121313,3.079506134900076e-07,878,4.690096271659362e-07,guadecitabine
PTBP3,BRD-K00003463-001-01-9,-0.1717005225234942,3.08009406247874e-07,878,4.6906860251679885e-07,pyrotinib
BATF3,BRD-K00090635-001-01-9,-0.17169132947967602,4.2057131006079574e-07,858,6.179024804338017e-07,DM4
SNAI2,BRD-K48832421-001-03-9,-0.1716809891057865,3.1870006571203626e-07,876,4.83396582245552e-07,PIM-1-Inhibitor-2
IRS1,BRD-K00003354-001-01-9,-0.17166617239084508,3.346543647113997e-07,873,5.051696578205021e-07,cinobufotalin
MECOM,BRD-K00084310-001-02-9 - QC Failure,-0.17165451591359007,4.2300677599049193e-07,858,6.212853873216726e-07,TNO155 - QC Failure
SPI1,BRD-A00047421-001-01-7,-0.17164894172839917,3.105682387976654e-07,878,4.7259592923881997e-07,ARV-825
ARHGAP45,BRD-K00073937-001-02-9,-0.1716369851581451,4.2417132256092454e-07,858,6.227609869271894e-07,RP-54745
SLC38A5,BRD-K00090646-001-01-9,-0.17161974245666184,4.2531974570243476e-07,858,6.243294244791675e-07,TK216
SOX10,BRD-K00004699-001-01-9,-0.1716144757172728,3.1228944355949373e-07,878,4.7490590636166876e-07,J147
PREX1,BRD-K00003162-001-01-9,-0.17161248488331562,3.1238914457036215e-07,878,4.750266159335396e-07,crolibulin
PXN,BRD-K00003246-001-01-9,-0.17160139652660483,3.129450112811884e-07,878,4.757621766137823e-07,bexagliflozin
ATP5F1A,BRD-K00003271-001-01-9,-0.17159417298439314,3.133076449609156e-07,878,4.7623740101629287e-07,JD-5037
CD79B,BRD-K00003307-001-01-9,-0.17158288759734985,3.391284940407108e-07,873,5.112630563580916e-07,COH29
LUC7L,BRD-K50387473-001-11-0,-0.17157791392899033,3.239996214041561e-07,876,4.905434444165277e-07,XMD8-92
MEF2B,BRD-K00076620-001-02-9,-0.17156846275435433,4.2875287284145557e-07,858,6.288160230955383e-07,CE-245677
PAX5,BRD-K00003236-001-01-9,-0.17154986354319124,3.1554092940344996e-07,878,4.79040117052123e-07,firsocostat
SLC66A2,BRD-K00003417-001-01-9,-0.17154661862274298,3.4109486021648097e-07,873,5.139291563292673e-07,MRX-2843
ZNF8,BRD-K00091286-001-01-9,-0.1715048312327991,4.330500585279416e-07,858,6.344017781067475e-07,Batabulin
MYB,BRD-K00004609-001-01-9,-0.1714925939310768,3.4404425908486e-07,873,5.179723282228386e-07,elacytarabine
PIM2,BRD-K73610817-001-10-9,-0.17148603772604032,3.1878486574289323e-07,878,4.834624542302836e-07,UC-112
SURF4,BRD-K04853698-376-01-4,-0.1714729114752898,3.294855503336148e-07,876,4.980822235610524e-07,LDN193189
SMARCA4,BRD-K50387473-001-11-0,-0.17147084608270538,3.295943508717976e-07,876,4.982071639228854e-07,XMD8-92
ZEB2,BRD-K00003236-001-01-9,-0.17146838377223877,3.196877846114074e-07,878,4.847374401153377e-07,firsocostat
GATA2,BRD-K38018935-001-01-1,-0.17146435738403318,3.2993638717323817e-07,876,4.986919253064038e-07,OTS514
PIM2,BRD-K00003356-001-01-9,-0.1714578810457098,3.4595230993937734e-07,873,5.206437468063829e-07,mivebresib
RBFOX2,BRD-K00077374-001-02-9 - QC Failure,-0.17145164623416972,4.366735598740361e-07,858,6.390291429075181e-07,Vilanterol - QC Failure
BCL2,BRD-K00003430-001-01-9,-0.17145007965883963,3.2062655862235686e-07,878,4.859717203710587e-07,PRN1371
ILK,BRD-K00078302-075-02-9 - QC Failure,-0.17143776536049732,4.376240597910329e-07,858,6.402998325676737e-07,Elubrixin (tosylate) - QC Failure
PIM2,BRD-K00091108-001-01-9,-0.17143647482638222,4.377125309346097e-07,858,6.403891876684632e-07,PRI-724
SURF4,BRD-K00004582-001-01-9,-0.17143526307629248,3.2138841080271565e-07,878,4.870317018272106e-07,sufugolix
ME2,BRD-K00005244-001-01-9,-0.17142957319722849,3.475158416586732e-07,873,5.228284680557779e-07,CCT196969
ALDH3A1,BRD-K00003389-001-01-9,-0.17141300096831258,3.225363846163818e-07,878,4.885179431828187e-07,HTHQ
EIF4A1,BRD-K00090624-001-01-9,-0.17141227937494066,4.393744155309516e-07,858,6.426596683014833e-07,Ubrogepant
PREX1,BRD-K00003293-001-01-9,-0.17139816946243927,3.492583356580733e-07,873,5.251795548478729e-07,mertansine
TCF3,BRD-K00003569-003-01-9,-0.1713745729671096,3.2452727789249355e-07,878,4.913105025847493e-07,omadacycline
SLC66A2,BRD-K38018935-001-01-1,-0.1713675679335114,3.3507919976284694e-07,876,5.057456284699554e-07,OTS514
ZFPM1,BRD-K00004582-001-01-9,-0.17136045977522424,3.2526142916741504e-07,878,4.923581685557528e-07,sufugolix
JUN,BRD-K00090645-001-01-9,-0.17134864107729927,4.437745241436088e-07,858,6.482031234475611e-07,Dorzagliatin
SASH3,BRD-K59060513-001-02-5,-0.17133863854862308,3.263996946919884e-07,878,4.939212472865751e-07,A-1120
SLC25A37,BRD-K00078302-075-02-9 - QC Failure,-0.17133142350884203,4.449722635121159e-07,858,6.498713830410031e-07,Elubrixin (tosylate) - QC Failure
IRF4,BRD-K00091130-325-01-9,-0.17132272689626019,4.455784256528575e-07,858,6.506753492257784e-07,Triazavirin
TNFRSF12A,BRD-K00077266-001-02-9,-0.17131427816427078,4.4616807172325334e-07,858,6.514825294569222e-07,CCR2 antagonist 3
DKK1,BRD-K00075280-001-02-9 - QC Failure,-0.171314008179666,4.4618692662232386e-07,858,6.514825294569222e-07,ethyl 10-(4-iodophenyl)undecanoate - QC Failure
SWT1,BRD-K91876515-001-03-9,-0.17129893008015176,3.284808729576522e-07,878,4.967168065971951e-07,S63845
BAMBI,BRD-K00003376-001-01-9,-0.1712619187799269,3.304321996775686e-07,878,4.993121724228443e-07,TAK-243
ITGAV,BRD-K00075584-003-02-9,-0.17125528118865876,4.503065270784607e-07,858,6.571691633392309e-07,Melflufen (hydrochloride)
UBE2J1,BRD-K00003159-300-01-9,-0.17124864720526584,3.3113462702841677e-07,878,5.002765677380839e-07,banoxantrone
MAFF,BRD-K00084847-001-01-9,-0.17118855419306936,4.550317667144193e-07,858,6.63402311250041e-07,Pyriproxyfen
TCF4,BRD-K00003133-001-01-9,-0.17115352062462175,3.36211701131849e-07,878,5.072381370452925e-07,velpatasvir
PIK3AP1,BRD-K04466929-001-12-9,-0.1711533667632175,3.3621997343426626e-07,878,5.072381370452925e-07,Merck60
CD79B,BRD-K00079205-001-02-9,-0.1711446416221856,4.581674244318412e-07,858,6.673494356114292e-07,Islatravir
