gene,E1_edd_rho,E1_n_lineages,E2_delta_rho,E2_fdr,E3_best_rho,E3_n_progs,E4_prism_rho,E4_n_drugs,E4_best_drug,E5_cox_p,E5_n_cancers,E5_hr,composite_score,n_evidence
CHRM2,-0.5147794562956846,1.0,,,,,0.1508287181151171,6.0,PCI-29732,0.0007520622579574,2.0,1.2383081582128548,0.5022793776650538,5
ANKHD1,-0.4888312970504752,1.0,,,0.14280369656752,5.0,-0.184722443541945,21.0,Vilanterol - QC Failure,0.0002897454721892,1.0,0.788987589648728,0.5020294679536901,6
ITGB3,-0.5777971267212049,1.0,-0.2065001472713401,0.0309565399160116,-0.1665645829802568,3.0,-0.3057518894595316,85.0,MK-0429,0.0012765211045934,2.0,1.058422679022487,0.501751654085658,7
CYP8B1,-0.5745853249433772,1.0,,,,,-0.1669002987222943,2.0,INX-08189,0.0010512235543119,1.0,0.7993293439498831,0.5001790895622231,5
SATB2,-0.5469183789120501,1.0,,,0.1852727427382363,4.0,0.1509918660841384,26.0,BMS-566419,0.0010543706309077,2.0,1.0455615037224917,0.49715847297291754,6
SIK3,-0.3440823809028934,1.0,,,0.1119283727893175,2.0,-0.1921763485621125,19.0,eribulin,1.5768974300581452e-05,2.0,1.0077104413201416,0.49657253306821303,6
RRAS2,-0.4115304984870203,1.0,,,-0.0897510548299835,1.0,-0.3262439575162504,101.0,MK-0429,0.0012751187165798,1.0,0.8052796872719216,0.49463741930453126,6
PAX5,-0.6990239880243624,1.0,,,0.0895300697458685,2.0,-0.2298137420480609,68.0,inarigivir,0.0028420449327808,1.0,0.8160893777774892,0.49437683911796215,6
ZBTB7B,-0.6259303721488595,1.0,,,0.1061625149633514,2.0,-0.2360987330307764,55.0,VLX1570,0.0022113733239417,1.0,0.832696543681828,0.4852524029089357,6
CD44,-0.3377460914768992,1.0,,,-0.1444274701414383,4.0,-0.3504932439895247,210.0,PRLX-93936,0.003483692501108,1.0,1.2457770830740529,0.48328816336497543,6
PRDM1,-0.4345388598189812,1.0,,,,,-0.1834483932063237,3.0,Mitoguazone - QC Failure,0.0001322379260026,1.0,0.7729525997210962,0.481195288164391,5
CD63,-0.3737219302436694,1.0,,,-0.1509509834480097,5.0,-0.3074607945405219,296.0,MK-0429,0.0038408978570772,1.0,1.2020129046136534,0.48112664828061713,6
RAB11FIP3,-0.4060312632017824,1.0,,,,,-0.1761328521062244,31.0,DpC,0.0002119114553456,1.0,0.7965077913000027,0.4805320770900793,5
CD96,-0.4512223714326159,1.0,,,-0.1256842739817284,1.0,-0.1723059203457682,2.0,AZ7550,8.029011407991851e-06,2.0,0.7458209735134971,0.47772558820994565,6
PIK3AP1,-0.3947873450303941,1.0,,,0.0893596361622595,1.0,-0.2491540220139909,48.0,CBP/p300-IN-4,3.3750829420043545e-05,1.0,0.7443333311000906,0.47554479701472935,6
DOK4,-0.6378542510121459,1.0,,,0.0929147220778121,1.0,-0.1965078344714113,123.0,RG7834,0.0010506427374651,1.0,1.2248127900775247,0.4751518618953227,6
