gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
PIM2,Lymphoid,-0.582812650019065,-0.7102622716831901,-0.43410061777687003,1.0,1.0,91,1442.0,1.0,True,0.0
KLF5,Lymphoid,0.3471191783011307,0.1604969911617411,0.5161276656077571,0.0,0.9945,91,2097.0,1.0,False,0.039599999999999635
ELMO3,Lymphoid,0.0038043355591655947,-0.1774707841121947,0.22820408322958952,0.4845,0.3315,91,2542.0,1.0,False,0.6811132075471698
ESRP2,Lymphoid,-0.16387445111627047,-0.34585245378039065,0.04752255000490857,0.9405,0.7415,91,2221.0,1.0,False,0.6345
TRPS1,Lymphoid,0.05130035259520482,-0.16586837403337684,0.254422579492086,0.3085,0.4065,91,2579.0,1.0,False,0.6811132075471698
CCNE1,Lymphoid,-0.07110714504322532,-0.2793676405419539,0.12908549434489203,0.77,0.4355,91,2450.0,1.0,False,0.6811132075471698
CDK6,Lymphoid,-0.49917142042881846,-0.6299353788761377,-0.32444210207936214,1.0,1.0,91,1830.0,1.0,True,0.0
GATA3,Lymphoid,-0.5535533508517355,-0.6957764562915323,-0.4154737444670134,1.0,1.0,91,1687.0,1.0,True,0.0
TWNK,Lymphoid,-0.08942985039399448,-0.29970329459611605,0.10339744321366018,0.8175,0.491,91,2419.0,1.0,False,0.6811132075471698
RAPGEFL1,Lymphoid,0.05006237780174416,-0.15626073412493868,0.2578200146025611,0.307,0.375,91,2462.0,1.0,False,0.6811132075471698
RAPGEF2,Lymphoid,-0.06908423437358763,-0.28359319532890015,0.11253878101319215,0.739,0.4225,91,2332.0,1.0,False,0.6811132075471698
CCND1,Lymphoid,-0.78316255045912,-0.8605089233276089,-0.6956916082771656,1.0,1.0,91,1097.0,1.0,True,0.0
ATP5F1B,Lymphoid,-0.20905837581173473,-0.410438749472801,-0.02000045351021762,0.9795,0.8585,91,2413.0,1.0,False,0.484457142857143
KRT18,Lymphoid,-0.02890738339848356,-0.25178971379477094,0.16938465345299303,0.6125,0.38,91,1908.0,1.0,False,0.6811132075471698
ELK3,Lymphoid,0.042426344069835475,-0.16979825967175483,0.23517282023461017,0.3455,0.375,91,2344.0,1.0,False,0.6811132075471698
NEDD9,Lymphoid,-0.13530842978286278,-0.32393988586151323,0.07339994225202018,0.9125,0.6435,91,2079.0,1.0,False,0.6811132075471698
PTP4A1,Lymphoid,0.009320473397209317,-0.19288142164961558,0.22002013086457795,0.4635,0.3455,91,1923.0,1.0,False,0.6811132075471698
CCND3,Lymphoid,-0.674718557914593,-0.7835405546048493,-0.546600273739881,1.0,1.0,91,1461.0,1.0,True,0.0
BCL6,Lymphoid,-0.6436338761149006,-0.7531187434114748,-0.5202929137124201,1.0,1.0,91,1708.0,1.0,True,0.0
EVA1A,Lymphoid,0.1251707215948631,-0.0867582703728918,0.3312813383513413,0.114,0.606,91,2300.0,1.0,False,0.6811132075471698
DOCK7,Lymphoid,0.1344073826414961,-0.07352368894356487,0.3324413095744716,0.106,0.6515,91,2258.0,1.0,False,0.6811132075471698
AKT3,Lymphoid,0.0505041562784988,-0.1480658029316851,0.2519131372269461,0.314,0.413,91,2282.0,1.0,False,0.6811132075471698
F3,Lymphoid,0.004344959320859876,-0.20131413145214716,0.21523421633973694,0.481,0.3565,91,2136.0,1.0,False,0.6811132075471698
TNFAIP3,Lymphoid,-0.2019662264560049,-0.3940341845649016,-0.013751293850529367,0.9745,0.847,91,2381.0,1.0,False,0.484457142857143
MYB,Lymphoid,-0.6476738245189095,-0.7589716894069802,-0.5084603930655822,1.0,1.0,91,1375.0,1.0,True,0.0
