gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
IRS1,Breast,-0.2831230388823758,-0.5317027714560638,-0.038557165903072954,0.9755,0.9235,50,2054.0,1.0,False,0.21333333333333324
ZEB2,Breast,-0.3859256069860599,-0.6044065340205593,-0.11731658332802569,0.995,0.9805,50,1910.0,1.0,False,0.08961702127659557
HIC2,Breast,-0.15508431829271146,-0.43383204213112997,0.12016781311192548,0.866,0.6945,50,2061.0,1.0,False,0.4888
GABARAP,Breast,-0.2241545139615947,-0.4829878805408145,0.037908440934101506,0.943,0.838,50,2094.0,1.0,False,0.3397281553398059
CDH2,Breast,-0.27748016966070793,-0.520245632880378,-0.006884893484255417,0.9755,0.905,50,2076.0,1.0,False,0.24141176470588227
PPM1D,Breast,-0.23919271724118005,-0.49016443616022537,0.01869940299817241,0.9535,0.8555,50,1896.0,1.0,False,0.31116831683168306
JUNB,Breast,-0.06218449683614388,-0.33240562583576305,0.21908490403795033,0.6865,0.518,50,2340.0,1.0,False,0.5253644859813084
BCL2L1,Breast,-0.31651099724334053,-0.5446400319541871,-0.04161167924657855,0.988,0.941,50,1871.0,1.0,False,0.1947272727272727
PIK3CD,Breast,-0.342121661119369,-0.6098106972587587,-0.1045297374097447,0.9935,0.961,50,1812.0,1.0,False,0.15600000000000014
BCL2,Breast,-0.4563537549908686,-0.6709967312190297,-0.2156321448540383,1.0,0.994,50,1931.0,1.0,True,0.04129411764705851
ZNF217,Breast,-0.48276539381163297,-0.6863350925674039,-0.2539736958275607,1.0,0.998,50,2111.0,1.0,True,0.022736842105263177
CEBPB,Breast,-0.2098318023272469,-0.44143564405362756,0.08177047643587909,0.9255,0.7895,50,2156.0,1.0,False,0.38532203389830516
PPP1CA,Breast,-0.21939136754692204,-0.4644569675819541,0.040997002882044775,0.9395,0.836,50,2029.0,1.0,False,0.3401052631578947
ZNF596,Breast,-0.24991621440747247,-0.5006892457270573,0.02722107124403461,0.959,0.883,50,2302.0,1.0,False,0.27114893617021274
RELA,Breast,-0.021927774134976014,-0.2988560361539357,0.24280994322263938,0.569,0.454,50,2084.0,1.0,False,0.546
RAPH1,Breast,0.03923615750943421,-0.23435202173407288,0.31385783265055234,0.3905,0.5095,50,2122.0,1.0,False,0.5253644859813084
DENND4A,Breast,-0.07161419839673766,-0.31673932895878526,0.21024684977082275,0.698,0.537,50,2260.0,1.0,False,0.5253644859813084
CCNE2,Breast,-0.3311433871627335,-0.5721493363697883,-0.07248192011409443,0.991,0.9485,50,2441.0,1.0,False,0.1823606557377049
FOSL1,Breast,-0.447515892957695,-0.6519246192172041,-0.22918989949893565,1.0,0.998,50,1816.0,1.0,True,0.022736842105263177
DMRTA1,Breast,0.13504470331684704,-0.11905727997135362,0.42150190437548685,0.1665,0.638,50,1851.0,1.0,False,0.5253644859813084
B3GNT5,Breast,-0.3035491045679397,-0.5381140877302879,-0.055016856345565746,0.987,0.937,50,1999.0,1.0,False,0.20310447761194012
RPS6KA3,Breast,0.07847296926377623,-0.2037443603002162,0.3654391650005131,0.287,0.5345,50,2077.0,1.0,False,0.5253644859813084
TGIF1,Breast,-0.18134422000436362,-0.423071041978941,0.12517655132400107,0.8935,0.7395,50,2453.0,1.0,False,0.43618604651162785
JUN,Breast,-0.3028916986027738,-0.5153256122458545,-0.0008955113063344178,0.9855,0.9305,50,2139.0,1.0,False,0.21143661971830988
BET1L,Breast,-0.4903412350080252,-0.6992175757442252,-0.27150528154589804,1.0,0.999,50,1802.0,1.0,True,0.014400000000000012
GLIPR1L2,Breast,-0.17002421078307586,-0.43586924316955405,0.09463462730750494,0.8755,0.703,50,2340.0,1.0,False,0.48234586466165424
FAM83H,Breast,-0.18928684809775098,-0.44545167637264194,0.07993396548523646,0.909,0.757,50,2077.0,1.0,False,0.419904
SOX2,Breast,-0.46786793290484496,-0.6610700470838877,-0.2114335815567816,0.999,0.9955,50,1677.0,1.0,True,0.038879999999999554
COPG1,Breast,0.020041364977117948,-0.26400256352106766,0.294847498868849,0.448,0.4935,50,2046.0,1.0,False,0.5253644859813084
EXT1,Breast,-0.3775655087520546,-0.6164231454530131,-0.13734430407300374,0.9975,0.9815,50,1693.0,1.0,False,0.08686956521739111
SKA2,Breast,-0.2655798862072918,-0.49402673334224095,0.007729443055070728,0.9785,0.9005,50,1998.0,1.0,False,0.24990697674418613
ACTG1,Breast,-0.3908294255231496,-0.6220933089237419,-0.14588246128190546,0.9945,0.9815,50,2031.0,1.0,False,0.08686956521739111
EFNA5,Breast,-0.1911166487677214,-0.4377512783174333,0.09784966457949684,0.909,0.77,50,2399.0,1.0,False,0.41057851239669413
SOCS3,Breast,-0.4095215612857833,-0.6065848601802091,-0.16872989970363733,1.0,0.9935,50,1931.0,1.0,True,0.04129411764705851
IFNE,Breast,-0.21838341490638546,-0.4602015326353995,0.03445146444231906,0.9475,0.823,50,1909.0,1.0,False,0.3401052631578947
MAFF,Breast,-0.0530260421023353,-0.31253545854340675,0.22683830845489528,0.6445,0.4965,50,2571.0,1.0,False,0.5253644859813084
ZFP36L1,Breast,-0.12484558267271514,-0.4035656486065944,0.14286314609039996,0.813,0.6345,50,2305.0,1.0,False,0.5253644859813084
IRS2,Breast,-0.5410629602450611,-0.7244415123912373,-0.32826231478625484,1.0,1.0,50,1260.0,1.0,True,0.0
RXRA,Breast,-0.03680535273242144,-0.2992247528495997,0.2395321006670441,0.594,0.4915,50,2016.0,1.0,False,0.5253644859813084
UBE2H,Breast,0.06992714467706984,-0.215682041611156,0.31654742157427473,0.3075,0.5225,50,2242.0,1.0,False,0.5253644859813084
RHD,Breast,-0.4589641512743447,-0.6628541927608091,-0.22499976437566754,0.9995,0.9985,50,1766.0,1.0,True,0.02024999999999927
TEAD1,Breast,-0.058192009440546116,-0.3173205594453398,0.22292920245727088,0.654,0.5225,50,2057.0,1.0,False,0.5253644859813084
MITF,Breast,0.13928093293963983,-0.15110932291609847,0.3950062239007748,0.1715,0.664,50,2093.0,1.0,False,0.5164225352112676
PTMA,Breast,-0.09403006018108015,-0.35373714623212343,0.17530817567733248,0.747,0.551,50,2333.0,1.0,False,0.5253644859813084
LIN28B,Breast,0.0119106349583733,-0.2582305116976975,0.31782582613713006,0.4675,0.496,50,1991.0,1.0,False,0.5253644859813084
ARL4C,Breast,-0.4982767023366547,-0.6732310370781618,-0.2706762377202842,0.9995,0.999,50,1866.0,1.0,True,0.014400000000000012
TUBB,Breast,-0.38776261083406904,-0.614330537174866,-0.1536884012865809,0.9965,0.9845,50,1950.0,1.0,False,0.07786046511627887
SRC,Breast,-0.29418487614418976,-0.5110488994542344,-0.01989455701911802,0.9845,0.9205,50,2103.0,1.0,False,0.21333333333333324
