gene,drug_id,name,rho,pvalue,fdr,n_lines
TRIO,BRD-K00003404-001-01-9,CYC065,-0.2998335168604535,1.3592789560851347e-19,2.6599209743644524e-18,873
TCF3,BRD-K00004726-001-01-9,ametantrone,-0.2998322354012946,1.3597845484844134e-19,2.6599209743644524e-18,873
DOCK5,BRD-K00003404-001-01-9,CYC065,-0.2997554435568532,1.390423417970997e-19,2.710339960368485e-18,873
FAM83H,BRD-K00003291-001-01-9,BEBT-908,-0.2995502425010874,1.1633260366709066e-19,2.312011575601397e-18,878
ITGB5,BRD-K38018935-001-01-1,OTS514,-0.2994539803922835,1.315753543479387e-19,2.586357596148043e-18,876
TRIO,BRD-K00003343-001-01-9,VLX1570,-0.299378307130886,1.223102643082982e-19,2.4287472365450687e-18,878
FAM83H,BRD-K00003413-001-01-9,zanubrutinib,-0.2993318371426048,1.5720843332435238e-19,3.034083818048525e-18,873
TRIO,BRD-K00003223-003-01-9,amiselimod,-0.2991606404594797,1.6519735237597612e-19,3.1725493177742922e-18,873
FADD,BRD-K00003404-001-01-9,CYC065,-0.2989948644721165,1.733145154140336e-19,3.2986212168214933e-18,873
ILK,BRD-K00076647-001-02-9,MK-0429,-0.2989876229083258,3.5354979173926106e-19,6.3906927552436265e-18,858
ERBB2,BRD-K00003501-001-01-9,lazertinib,-0.2988037358203801,1.4457019696450742e-19,2.8087237268948186e-18,878
TCF4,BRD-K00003267-003-01-9,ombrabulin,-0.2982382908120747,1.7036549967642549e-19,3.255227292302796e-18,878
SMARCA4,BRD-K00003375-004-01-9,visomitin,-0.297835843907586,1.9144060468252197e-19,3.6141759391275465e-18,878
MYB,BRD-K00003108-001-01-9,ABBV-744,-0.2976460775908512,2.0225090778353572e-19,3.809031600899917e-18,878
AP1M1,BRD-K75958547-238-04-9,pitavastatin,-0.2972405143773821,2.8738406587402515e-19,5.280456279565814e-18,873
FOSL1,BRD-K00089577-001-01-9 - QC Failure,Avilamycin A - QC Failure,-0.2971195846904377,6.001645953304831e-19,1.0421283003019357e-17,858
GPC1,BRD-K00076647-001-02-9,MK-0429,-0.2971099205225418,6.01803832522364e-19,1.0441988993105189e-17,858
ITGB5,BRD-K00003376-001-01-9,TAK-243,-0.2969665005420214,2.4613730737364684e-19,4.572910292477642e-18,878
JUN,BRD-K00003404-001-01-9,CYC065,-0.2969079838875645,3.161708701597115e-19,5.7685757824924105e-18,873
TNS3,BRD-K00003354-001-01-9,cinobufotalin,-0.296398223212232,3.659084247999727e-19,6.598774463290866e-18,873
JUN,BRD-K00003291-001-01-9,BEBT-908,-0.2962844222416612,2.9960510474347106e-19,5.492055300442672e-18,878
MYC,BRD-K00003108-001-01-9,ABBV-744,-0.2961422180936748,3.12118265688326e-19,5.707620773508294e-18,878
TNFRSF12A,BRD-K00004573-001-01-9,RG7834,-0.2959780606087216,3.2720511685950664e-19,5.960590795978478e-18,878
TNS3,BRD-K00003343-001-01-9,VLX1570,-0.2957922222131036,3.45153758296097e-19,6.253436929377039e-18,878
MITF,BRD-K00003223-003-01-9,amiselimod,-0.2955342250437077,4.684083454555964e-19,8.281119402411648e-18,873
TCF4,BRD-K00003174-001-01-9,soblidotin,-0.2951563430449512,4.1422983514420795e-19,7.41300130703708e-18,878
ATP5F1A,BRD-K00003156-066-01-9,eribulin,-0.2948466975248701,4.526373161901012e-19,8.03267984358014e-18,878
SPINT2,BRD-K00090630-001-01-9 - QC Failure,Almonertinib - QC Failure,-0.2948024088608067,1.1508245437242668e-18,1.9035436118841868e-17,858
ME2,BRD-K88554883-001-03-2,ON123300,-0.2947452882086808,5.108652399031806e-19,8.990920472151457e-18,876
GFI1,BRD-K00003528-457-01-9,AZD5153,-0.2947032764787051,5.935123242585823e-19,1.0313434975889657e-17,873
ATP5F1A,BRD-K39576764-071-01-6,mivobulin,-0.2945859004635327,5.346352279491527e-19,9.38804999821758e-18,876
MYB,BRD-K00003528-457-01-9,AZD5153,-0.2945811482425846,6.14484642245493e-19,1.0640838779580924e-17,873
ME2,BRD-K00003370-001-01-9,cadazolid,-0.2942370685412621,5.388017965298902e-19,9.447018445983942e-18,878
TCF4,BRD-K00003396-001-01-9,CEP-40783,-0.2940697228052424,5.651597659151068e-19,9.872133070977485e-18,878
PARD6B,BRD-K00004648-001-01-9,PF-06747775,-0.2940665413050434,5.656729930112259e-19,9.873718590484216e-18,878
EGFR,BRD-K00004648-001-01-9,PF-06747775,-0.293998537276515,5.767536987971441e-19,1.0037146275716197e-17,878
SYK,BRD-K00004648-001-01-9,PF-06747775,-0.2939463182615752,5.8540739517171e-19,1.0180164910679468e-17,878
SYK,BRD-K00068629-001-02-9,CBP/p300-IN-4,-0.2938439441270541,1.5038535579048937e-18,2.445933566830423e-17,858
FOSL1,BRD-K00003223-003-01-9,amiselimod,-0.2935618099271487,8.205451894693178e-19,1.3907021151759898e-17,873
CD44,BRD-K00003404-001-01-9,CYC065,-0.2935364290386515,8.264625669121902e-19,1.399716167671863e-17,873
FOSL1,BRD-K00076647-001-02-9,MK-0429,-0.2933150509109697,1.7423513325007124e-18,2.781573452404826e-17,858
ME2,BRD-K00004593-001-01-9,BW-348U87,-0.2930996421445088,9.3514455326653e-19,1.565884515837765e-17,873
TCF3,BRD-K00003271-001-01-9,JD-5037,-0.2930146815644842,7.631773765437735e-19,1.301019813609123e-17,878
BCL2,BRD-K00003214-001-01-9,sapacitabine,-0.2929563036920132,7.75939569646872e-19,1.3208492077047845e-17,878
WWTR1,BRD-K30177383-001-02-9,dalbavancin,-0.2927661222828418,8.967714126200257e-19,1.5089518686648842e-17,876
TCF3,BRD-K00003532-001-01-9,inarigivir,-0.2922606959082692,9.451933721566332e-19,1.5813213667891788e-17,878
FADD,BRD-K00003313-001-01-9,trabectedin,-0.2920323344644542,1.0083265242197791e-18,1.678533299434806e-17,878
BLNK,BRD-K00003413-001-01-9,zanubrutinib,-0.2918565036418737,1.3276377273025982e-18,2.1775122078958825e-17,873
TNS3,BRD-K00003223-003-01-9,amiselimod,-0.291674387562725,1.3973766041082567e-18,2.2854783758725106e-17,873
ELOVL1,BRD-K00003291-001-01-9,BEBT-908,-0.291496047025041,1.1733990288602584e-18,1.936771334923867e-17,878
TCF4,BRD-K00003214-001-01-9,sapacitabine,-0.2913504329613054,1.2226432239025018e-18,2.0137855834425138e-17,878
YAP1,BRD-K00003223-003-01-9,amiselimod,-0.2912492508307295,1.5745417299513965e-18,2.5344482997537216e-17,873
ME2,BRD-K00090635-001-01-9,DM4,-0.2911926910204631,3.135678646394161e-18,4.761993588273187e-17,858
PXN,BRD-K00003273-003-01-9,cbl0137,-0.2908493034019485,1.4082025423147773e-18,2.301574113215453e-17,878
GPC1,BRD-K00003404-001-01-9,CYC065,-0.2905308943792277,1.9255310515420085e-18,3.0469540783100755e-17,873
ATP5F1A,BRD-K00003362-066-01-9,mitoquinone,-0.2904755511140218,1.564418331902142e-18,2.519888714901231e-17,878
TNFRSF12A,BRD-K00003343-001-01-9,VLX1570,-0.2903988648568908,1.5985221796320437e-18,2.5677429816055068e-17,878
ME2,BRD-K00003406-001-01-9,milademetan,-0.2903266062602052,1.6313271345267049e-18,2.6132541321561447e-17,878
ITGAV,BRD-K00003404-001-01-9,CYC065,-0.2902779819410649,2.0666203966705496e-18,3.2460384348779625e-17,873
PIM2,BRD-K64857848-001-06-4,ERK5-IN-1,-0.290177211123362,1.859766903831105e-18,2.9589157301797546e-17,876
PXN,BRD-K00003096-001-01-9,FN-1501,-0.2897844829370632,1.8995483439129033e-18,3.013423594394323e-17,878
BCL2,BRD-K88554883-001-03-2,ON123300,-0.2897094568507102,2.120042937577427e-18,3.32102168478952e-17,876
CD63,BRD-K00003223-003-01-9,amiselimod,-0.2894465169632984,2.6061778432157906e-18,4.017914812113421e-17,873
FOSL1,BRD-K00003354-001-01-9,cinobufotalin,-0.2893361998493722,2.6874806246942746e-18,4.132355076339117e-17,873
JUN,BRD-K00076647-001-02-9,MK-0429,-0.2891967803606283,5.424546992878215e-18,7.909077499535222e-17,858
FADD,BRD-K00003291-001-01-9,BEBT-908,-0.2891950595371792,2.2406053237047176e-18,3.4981581580244935e-17,878
ERBB2,BRD-K00090630-001-01-9 - QC Failure,Almonertinib - QC Failure,-0.2891937558204463,5.4290362870347875e-18,7.910688036195575e-17,858
BLNK,BRD-K00069020-001-02-9,Mobocertinib,-0.2891239114593362,5.533730004221525e-18,8.043180202653323e-17,858
MYB,BRD-K00003222-001-01-9,tradipitant,-0.2889210146226511,2.4190832722487077e-18,3.7442923337083956e-17,878
HDLBP,BRD-K00003291-001-01-9,BEBT-908,-0.2888056439118705,2.4983473097498188e-18,3.859310860771498e-17,878
TCF3,BRD-K64857848-001-06-4,ERK5-IN-1,-0.2887435193017227,2.7763966958864724e-18,4.2578703134027976e-17,876
ATP5F1A,BRD-K00003293-001-01-9,mertansine,-0.2886853134794284,3.220632041308203e-18,4.881492352104755e-17,873
PIM2,BRD-K38627885-001-01-9,APY0201,-0.2883559405179827,3.0928231302330297e-18,4.703022914756434e-17,876
VCL,BRD-K00003431-001-01-9,ziritaxestat,-0.2881979394945576,2.9600585777893497e-18,4.5187778628408025e-17,878
TCF4,BRD-K39576764-071-01-6,mivobulin,-0.2880854673385912,3.3344396735320713e-18,5.034400778410308e-17,876
FOSL1,BRD-K00003404-001-01-9,CYC065,-0.2880246605744808,3.868182958117704e-18,5.780509724880241e-17,873
TRIO,BRD-K00003313-001-01-9,trabectedin,-0.2876700414735568,3.4287090889707026e-18,5.163388455375209e-17,878
TCF3,BRD-K00003375-004-01-9,visomitin,-0.287642380846364,3.4551863375623106e-18,5.1999108230203675e-17,878
PIM2,BRD-K00073937-001-02-9,RP-54745,-0.2875669960194493,8.459168917168066e-18,1.1924468994695538e-16,858
ZFP36L1,BRD-K00076647-001-02-9,MK-0429,-0.2874917150372866,8.633968187606864e-18,1.2152117670362991e-16,858
BCAR3,BRD-K00003223-003-01-9,amiselimod,-0.2874434273370654,4.542907658066084e-18,6.698854118884576e-17,873
MITF,BRD-K00003404-001-01-9,CYC065,-0.2874190661556256,4.573587619058087e-18,6.735594822471684e-17,873
ATP5F1A,BRD-K00003370-001-01-9,cadazolid,-0.2873289065190186,3.769700218670401e-18,5.644166144187355e-17,878
MYB,BRD-K00003174-001-01-9,soblidotin,-0.287117171958627,3.997933408497788e-18,5.947784826442413e-17,878
ATP5F1A,BRD-K00004617-001-01-9,imidazoacridinone,-0.2871092868105303,4.981985412760129e-18,7.286543370902988e-17,873
PARD6B,BRD-K00076493-001-02-9,NRC-2694,-0.2870551559710969,9.720064822436425e-18,1.3538578964838148e-16,858
SPINT2,BRD-K71223042-001-03-9,PCI-29732,-0.2867651901315582,4.808151643266777e-18,7.04994480592416e-17,876
ME2,BRD-K00003412-300-01-9,trilaciclib,-0.2866029428111895,4.610473852210076e-18,6.781371609430704e-17,878
ITGAV,BRD-K00003313-001-01-9,trabectedin,-0.2865823967171008,4.636780392279686e-18,6.81149159826278e-17,878
FOSL1,BRD-K00003343-001-01-9,VLX1570,-0.2863799163527689,4.904071435994816e-18,7.181576290856571e-17,878
HDLBP,BRD-K00003354-001-01-9,cinobufotalin,-0.286217613142266,6.3689037703137724e-18,9.177189822427463e-17,873
CCNB1IP1,BRD-K00003375-004-01-9,visomitin,-0.2861751470389109,5.189816953414292e-18,7.581025114699927e-17,878
TCF3,BRD-K00003417-001-01-9,MRX-2843,-0.2859687356897413,6.8197307199211574e-18,9.772577951318043e-17,873
MAFK,BRD-K00003223-003-01-9,amiselimod,-0.2859633288184112,6.82986603213866e-18,9.781104712202498e-17,873
HDLBP,BRD-K38018935-001-01-1,OTS514,-0.2856660202983591,6.511350189379917e-18,9.342128706334402e-17,876
FOXA1,BRD-K00076465-001-02-9,ZD-4190,-0.2856073673965115,1.4377392420906944e-17,1.921679920487295e-16,858
ERBB2,BRD-K00076465-001-02-9,ZD-4190,-0.2856065572450018,1.4380533034966108e-17,1.921679920487295e-16,858
FADD,BRD-K00003273-003-01-9,cbl0137,-0.2855376066453945,6.1886872346805374e-18,8.94508336728222e-17,878
PXN,BRD-K00091071-001-01-9,PF-06952229,-0.2850645658396061,1.6640456436009126e-17,2.194812346627569e-16,858
ETS1,BRD-K00004604-001-01-9,PRLX-93936,-0.2847548425520222,9.510739535648573e-18,1.3262828426442627e-16,873
VCL,BRD-K00003354-001-01-9,cinobufotalin,-0.284593487682962,9.93942981108055e-18,1.3827640091938963e-16,873
ITGB5,BRD-K00003431-001-01-9,ziritaxestat,-0.2845139896128941,8.202164753949117e-18,1.160417643034496e-16,878
PIK3CD,BRD-K53114651-001-12-7,azaguanine-8,-0.2844878865731765,8.998670999712645e-18,1.261649301771349e-16,876
LIF,BRD-K00003313-001-01-9,trabectedin,-0.2840338700415284,9.356908331262865e-18,1.3056099195120935e-16,878
PXN,BRD-K00004604-001-01-9,PRLX-93936,-0.2839798904164305,1.1750602030988888e-17,1.605114381462725e-16,873
MITF,BRD-K00003354-001-01-9,cinobufotalin,-0.2837009522482039,1.2677947604357705e-17,1.720414614001938e-16,873
BCL2,BRD-K27677357-003-04-9,ruboxistaurin,-0.2836994837864913,1.2683015488299417e-17,1.720414614001938e-16,873
BCL2,BRD-K64857848-001-06-4,ERK5-IN-1,-0.283690323980857,1.1192288619065912e-17,1.541462401914016e-16,876
RBFOX2,BRD-K00003354-001-01-9,cinobufotalin,-0.2836072523379943,1.3005351381695494e-17,1.760052533254123e-16,873
EIF2D,BRD-K88554883-001-03-2,ON123300,-0.2834742431025564,1.1872277277647765e-17,1.6198415909701314e-16,876
PIM2,BRD-K00004726-001-01-9,ametantrone,-0.2833923814587338,1.3787926095874341e-17,1.8541507981172327e-16,873
WWTR1,BRD-K00003273-003-01-9,cbl0137,-0.2833695379683979,1.1222800930164729e-17,1.5447544366302126e-16,878
VCL,BRD-K00003223-003-01-9,amiselimod,-0.2829340445739973,1.5615506242659733e-17,2.071314482993435e-16,873
TCF3,BRD-K55790047-001-02-9,ON-01500,-0.2828757829430101,1.3975297522191206e-17,1.8750324551587416e-16,876
WWTR1,BRD-K00003291-001-01-9,BEBT-908,-0.2828034676259932,1.3098523121961153e-17,1.7706112342769e-16,878
ITGAV,BRD-K00003291-001-01-9,BEBT-908,-0.2827259478000296,1.337833783209602e-17,1.8042614645801967e-16,878
ZFP36L1,BRD-K00003431-001-01-9,ziritaxestat,-0.2827195540600569,1.3401677742988509e-17,1.8063668524171126e-16,878
KLF5,BRD-K00004690-001-01-9,SKLB-1028,-0.2826883767612628,1.3516064278882917e-17,1.8207346070665791e-16,878
ITGB3,BRD-K04853698-376-01-4,LDN193189,-0.2826851563263334,1.4719241441945487e-17,1.9613347262323256e-16,876
ATP5F1A,BRD-K55790047-001-02-9,ON-01500,-0.2825468147517707,1.528343279223942e-17,2.033035806603413e-16,876
BCL2,BRD-K00003114-001-01-9,C188-9,-0.2825390167603313,1.4077530973847034e-17,1.8876652548522826e-16,878
MYB,BRD-K50387473-001-11-0,XMD8-92,-0.2824324965256806,1.5765682613011088e-17,2.088863571605981e-16,876
SPDEF,BRD-K00004648-001-01-9,PF-06747775,-0.2824265162652503,1.4515548992017145e-17,1.9375066307334366e-16,878
PIM2,BRD-K00003162-001-01-9,crolibulin,-0.2822143152079723,1.5378601862894642e-17,2.0445317561978015e-16,878
KLF5,BRD-K00090630-001-01-9 - QC Failure,Almonertinib - QC Failure,-0.282087149723861,3.689201972620004e-17,4.528572925634177e-16,858
PIM2,BRD-K00003267-003-01-9,ombrabulin,-0.2820424533959501,1.611447171286312e-17,2.1302456610465884e-16,878
MAFK,BRD-K00003313-001-01-9,trabectedin,-0.281955490840247,1.6499931248389383e-17,2.178736684391845e-16,878
PIK3CD,BRD-K00003240-300-01-9,eravacycline,-0.281910654752404,1.670220023137756e-17,2.201713614256945e-16,878
FOXA1,BRD-K00003501-001-01-9,lazertinib,-0.281864779304101,1.6911685918547378e-17,2.226816469229799e-16,878
NAV2,BRD-K00003343-001-01-9,VLX1570,-0.281746547014266,1.7463586709843818e-17,2.294316743015569e-16,878
MYC,BRD-K00068629-001-02-9,CBP/p300-IN-4,-0.2816196478694646,4.176816480078469e-17,5.068564629926997e-16,858
TCF4,BRD-K55790047-001-02-9,ON-01500,-0.2816098530712912,1.970683466238113e-17,2.571681405523014e-16,876
ZFP36L1,BRD-K00003223-003-01-9,amiselimod,-0.2814202313774111,2.3517187804465842e-17,3.0225614692764824e-16,873
BCL2,BRD-K00003307-001-01-9,COH29,-0.2812878532271988,2.437160001034089e-17,3.128023258878018e-16,873
EGFR,BRD-K00004604-001-01-9,PRLX-93936,-0.2812696897980241,2.449119297363284e-17,3.138202643529312e-16,873
ERBB2,BRD-K00003404-001-01-9,CYC065,-0.2811323500436282,2.5414377867531985e-17,3.2440460924082883e-16,873
FOXA1,BRD-K00003343-001-01-9,VLX1570,-0.2810968471042871,2.0828198366789884e-17,2.705929139681007e-16,878
TCF7L2,BRD-K00003223-003-01-9,amiselimod,-0.2810734391439689,2.5820797090713738e-17,3.290532549641012e-16,873
RBFOX2,BRD-K00003404-001-01-9,CYC065,-0.2810279480512582,2.613900841487865e-17,3.327455907802526e-16,873
PDGFRB,BRD-K04853698-376-01-4,LDN193189,-0.2809616269325484,2.3482660181521717e-17,3.020565403205974e-16,876
DKK1,BRD-K00003354-001-01-9,cinobufotalin,-0.2808334452373602,2.7543683896885357e-17,3.4929516008573223e-16,873
EIF2D,BRD-K00003412-300-01-9,trilaciclib,-0.2808285342502957,2.239717266642701e-17,2.895280528538341e-16,878
GPC1,BRD-K00003354-001-01-9,cinobufotalin,-0.2806207658076792,2.9164784097128495e-17,3.672625721541418e-16,873
ME2,BRD-A00047421-001-01-7,ARV-825,-0.2803118060075459,2.5753725909738524e-17,3.283775679009322e-16,878
TFAP2A,BRD-K00003223-003-01-9,amiselimod,-0.2802898461384442,3.187578115188613e-17,3.9712193874300776e-16,873
ME2,BRD-K00091286-001-01-9,Batabulin,-0.279837475703441,6.690058691146643e-17,7.783085845927868e-16,858
MYC,BRD-K64857848-001-06-4,ERK5-IN-1,-0.2798013249983598,3.210088726510799e-17,3.995004990202896e-16,876
PIK3CD,BRD-K00004726-001-01-9,ametantrone,-0.2797048264892177,3.728863922778606e-17,4.570058080921949e-16,873
ZEB1,BRD-K00003159-300-01-9,banoxantrone,-0.2795143176225234,3.1929224911228866e-17,3.97575836241471e-16,878
ATP5F1A,BRD-K88554883-001-03-2,ON123300,-0.2792501285314898,3.72210786249042e-17,4.564171299167162e-16,876
PIM2,BRD-K00003214-001-01-9,sapacitabine,-0.2791546939463665,3.517094049995988e-17,4.3423941963289085e-16,878
TCF3,BRD-K00090635-001-01-9,DM4,-0.2790808831294751,8.162711190535524e-17,9.333604987534068e-16,858
DOCK5,BRD-K00003313-001-01-9,trabectedin,-0.2790789266461118,3.589417303297858e-17,4.422343764505932e-16,878
LIF,BRD-K00004604-001-01-9,PRLX-93936,-0.2790518696486101,4.4402807773847145e-17,5.365564354007886e-16,873
ATP5F1A,BRD-K00003236-001-01-9,firsocostat,-0.2790004307931619,3.665889591793071e-17,4.505142938510535e-16,878
TCF3,BRD-K00010388-001-01-9,PTC-028,-0.2790000549572553,3.666259570874139e-17,4.505142938510535e-16,878
MYB,BRD-K00003162-001-01-9,crolibulin,-0.2789230074762687,3.7428880197453576e-17,4.584841656052856e-16,878
TCF4,BRD-K00003222-001-01-9,tradipitant,-0.2786707974067007,4.004924729714011e-17,4.880245087741181e-16,878
ME2,BRD-K00003396-001-01-9,CEP-40783,-0.2786331961727513,4.045507930275552e-17,4.921999549526298e-16,878
FOSL1,BRD-K00084847-001-01-9,Pyriproxyfen,-0.2785182464313237,9.460535961905952e-17,1.0697225278261533e-15,858
RAC1,BRD-K00003223-003-01-9,amiselimod,-0.2784940864414645,5.152651331452005e-17,6.147410256186639e-16,873
ME2,BRD-K00003362-066-01-9,mitoquinone,-0.2784408125236932,4.259570059869265e-17,5.160947197473533e-16,878
ALDH3A1,BRD-K00076465-001-02-9,ZD-4190,-0.2784294899833268,9.683027396448676e-17,1.0922380130781778e-15,858
ATP5F1A,BRD-K00003214-001-01-9,sapacitabine,-0.2783565813539713,4.3567675976499377e-17,5.267789565042647e-16,878
PIK3CD,BRD-K00079205-001-02-9,Islatravir,-0.2782487313694766,1.0152192341557167e-16,1.1402068207922832e-15,858
BCL2,BRD-K00003267-003-01-9,ombrabulin,-0.2782022951641268,4.540500930855924e-17,5.470133389482714e-16,878
BCL2,BRD-K00003236-001-01-9,firsocostat,-0.2780911172588766,4.677607407663558e-17,5.623716066456415e-16,878
SMARCA4,BRD-K00003173-001-01-9,SJG-136,-0.2780082489505329,4.7824460179360436e-17,5.745357283000782e-16,878
TCF4,BRD-K00003432-001-01-9,EDO-S101,-0.2779352000809302,5.979033802660385e-17,7.039898137822595e-16,873
ITGB5,BRD-K00003096-001-01-9,FN-1501,-0.2779033841909086,4.9184344910432436e-17,5.898083680075049e-16,878
PIM2,BRD-K00003102-001-01-9,INCB-057643,-0.2778553009172197,4.982055177043113e-17,5.968251850223046e-16,878
PPM1D,BRD-K00003406-001-01-9,milademetan,-0.2777533131395126,5.119692985252413e-17,6.117457282787291e-16,878
SURF4,BRD-K00003343-001-01-9,VLX1570,-0.2777478702028008,5.12714283036509e-17,6.120101237553262e-16,878
TCF3,BRD-K00003293-001-01-9,mertansine,-0.2776871027617419,6.386465172925157e-17,7.47817956020074e-16,873
MAFF,BRD-K00091078-001-01-9,AZD-0364,-0.2776825119759281,1.177143395900582e-16,1.3101045451899239e-15,858
SMARCA4,BRD-K00004636-001-01-9,DpC,-0.2775981897672849,6.539035547414243e-17,7.633883057650634e-16,873
TFAP2A,BRD-K00004573-001-01-9,RG7834,-0.2775129435948918,5.4590682222798176e-17,6.479905662322189e-16,878
CIRBP,BRD-K00003375-004-01-9,visomitin,-0.2772499316957116,5.85581522941057e-17,6.908738694688735e-16,878
PIM2,BRD-K00003528-457-01-9,AZD5153,-0.2771951757415026,7.276810126128449e-17,8.406999815515279e-16,873
BLNK,BRD-K00003463-001-01-9,pyrotinib,-0.2770828330936987,6.122488217509421e-17,7.190693196966342e-16,878
PARD6B,BRD-K00003501-001-01-9,lazertinib,-0.2768146733227158,6.575639436123232e-17,7.668954336380849e-16,878
ITGB5,BRD-K00091272-001-01-9,CCR1 antagonist 9,-0.2767766661921049,1.490523208811096e-16,1.6248371472170217e-15,858
WWTR1,BRD-K00003431-001-01-9,ziritaxestat,-0.2767211811514293,6.741265082861031e-17,7.834751243989458e-16,878
MLKL,BRD-K00004604-001-01-9,PRLX-93936,-0.2765655406357953,8.596497383781128e-17,9.781024452683133e-16,873
GPC1,BRD-K00076465-001-02-9,ZD-4190,-0.2764574964844903,1.6194463674164462e-16,1.7539249536263758e-15,858
CLTB,BRD-K00003376-001-01-9,TAK-243,-0.2763852849157521,7.37091445363504e-17,8.494724487690245e-16,878
ERBB2,BRD-K00003413-001-01-9,zanubrutinib,-0.2761730750991983,9.535493501589605e-17,1.0771558923110308e-15,873
CCNB1IP1,BRD-K00003108-001-01-9,ABBV-744,-0.2761134532570151,7.922563305934682e-17,9.085679567532158e-16,878
GPC1,BRD-K00003518-004-01-9,methylbenactyzium-bromide,-0.2760227143252854,9.921390253421211e-17,1.1158938065590017e-15,873
GPC1,BRD-K00003291-001-01-9,BEBT-908,-0.2759784278889675,8.21149395866592e-17,9.384793975644982e-16,878
SPINT2,BRD-K00003463-001-01-9,pyrotinib,-0.2759666811353655,8.237114983025562e-17,9.404877937629385e-16,878
DOCK5,BRD-K00003291-001-01-9,BEBT-908,-0.2757252653956976,8.781446640330187e-17,9.972787700573233e-16,878
LIF,BRD-K00003404-001-01-9,CYC065,-0.2756429754087687,1.0965744409478991e-16,1.2274491299729072e-15,873
MAFF,BRD-K00004573-001-01-9,RG7834,-0.2755949371936619,9.089866519463267e-17,1.029803006751796e-15,878
ME2,BRD-K00003143-001-01-9,BAY1217389,-0.2754527935828836,9.438410683697321e-17,1.0677373402680245e-15,878
DKK1,BRD-K00003343-001-01-9,VLX1570,-0.2754028605689782,9.563945318746484e-17,1.079847970964941e-15,878
ATP5F1A,BRD-K00003267-003-01-9,ombrabulin,-0.2753005703355382,9.826263541990816e-17,1.1062593039663264e-15,878
EGFR,BRD-K00004573-001-01-9,RG7834,-0.2752721258504906,9.900458112085459e-17,1.114075623474537e-15,878
RBM47,BRD-K00003413-001-01-9,zanubrutinib,-0.2752580910227052,1.2134539344260896e-16,1.3473085679528062e-15,873
ERBB2,BRD-K00003313-001-01-9,trabectedin,-0.2747259690038139,1.1436884127046106e-16,1.2759086196530865e-15,878
YAP1,BRD-K00004573-001-01-9,RG7834,-0.2746935167684796,1.1535224100245762e-16,1.2856521586597236e-15,878
ME2,BRD-K00003111-001-01-9,BOS-172722,-0.2745838049198006,1.1873887195884271e-16,1.3202497218944206e-15,878
MYB,BRD-K27677357-003-04-9,ruboxistaurin,-0.2745462722119066,1.4628075057754528e-16,1.5976045338777516e-15,873
BCAR3,BRD-K00003343-001-01-9,VLX1570,-0.2744518647856666,1.229414647403301e-16,1.3637341784105344e-15,878
ZNFX1,BRD-K00004604-001-01-9,PRLX-93936,-0.2742614074152193,1.5761646212969783e-16,1.7118085282970717e-15,873
DOCK5,BRD-K00003273-003-01-9,cbl0137,-0.2742560385017815,1.2945022600808786e-16,1.429150062475687e-15,878
ME2,BRD-K77286328-001-03-7,reversine,-0.2740819780840466,1.355194996934328e-16,1.4905231749811348e-15,878
BLNK,BRD-K00004690-001-01-9,SKLB-1028,-0.2740016640655573,1.3841355962300294e-16,1.52163768368242e-15,878
CD19,BRD-K00004614-001-01-9,GSK3117391,-0.2739248552111918,1.7212669813693335e-16,1.8573154149844906e-15,873
LUC7L,BRD-K00004701-001-01-9,KPT-9274,-0.2739236634570892,1.4128245455564659e-16,1.5466292870606897e-15,878
FAM83H,BRD-K00004690-001-01-9,SKLB-1028,-0.2738401454123355,1.4441917648163164e-16,1.5780107492887772e-15,878
TNFRSF12A,BRD-K00003291-001-01-9,BEBT-908,-0.2731720046043017,1.7210713569609774e-16,1.8573154149844906e-15,878
BLNK,BRD-K00091285-001-01-9,Theliatinib,-0.272930259041444,4.021421237491935e-16,4.077599009226095e-15,858
NAV2,BRD-K00003291-001-01-9,BEBT-908,-0.2727759961439666,1.909184444383104e-16,2.052505006169361e-15,878
TCF4,BRD-K00003156-066-01-9,eribulin,-0.2725972359838204,2.0005941426015795e-16,2.1458415007289638e-15,878
MYB,BRD-K39576764-071-01-6,mivobulin,-0.2721706777313397,2.418090111322073e-16,2.5526468871643858e-15,876
MITF,BRD-K00003313-001-01-9,trabectedin,-0.2720592518483347,2.302475292914775e-16,2.4449546817811962e-15,878
TCF3,BRD-K00004701-001-01-9,KPT-9274,-0.2719849938291584,2.347518754046056e-16,2.487135463262213e-15,878
RBFOX2,BRD-K00003223-003-01-9,amiselimod,-0.2719117272971946,2.90746721580496e-16,3.0376988720515656e-15,873
RAC1,BRD-K00003343-001-01-9,VLX1570,-0.271738439222316,2.50338280010567e-16,2.639109734058174e-15,878
MYB,BRD-K38905597-003-02-9,SIS3,-0.2716637763422254,2.759017960016316e-16,2.8942445135323762e-15,876
MYB,BRD-K00003236-001-01-9,firsocostat,-0.2716426358416087,2.566656054143678e-16,2.7021569953804525e-15,878
WWTR1,BRD-K00003096-001-01-9,FN-1501,-0.2715778980754378,2.610300345727609e-16,2.744396746754192e-15,878
MAFK,BRD-K00003291-001-01-9,BEBT-908,-0.2715037798598486,2.661165798845057e-16,2.7966172234985017e-15,878
TRIO,BRD-K00003096-001-01-9,FN-1501,-0.2712294850810638,2.8580334500598235e-16,2.9913998116792743e-15,878
