Gene,Lineage,Posterior_median_rho,HDI_low_95,HDI_high_95,P(rho<0),P(|rho|>ROPE),N_cell_lines,ESS_bulk,R_hat,FDR
BCL2L1,Myeloid,-0.6787499685732272,-0.8389004418234236,-0.4896055489894928,1.0,1.0,39,1389.0,1.0,0.0
ITGAV,Peripheral Nervous System,-0.677083194143012,-0.8379573211351403,-0.4965395873826836,1.0,1.0,37,1159.0,1.0,0.0
FAM120A,Bladder/Urinary Tract,-0.6763155980423698,-0.8356765187350781,-0.447711245135846,1.0,1.0,34,970.0,1.0,0.0
CCND3,Lymphoid,-0.674718557914593,-0.7835405546048493,-0.546600273739881,1.0,1.0,91,1461.0,1.0,0.0
TRPS1,Bladder/Urinary Tract,-0.6706126323684299,-0.8404036979609844,-0.4664551027306247,1.0,1.0,34,989.0,1.0,0.0
PARD6B,Ovary/Fallopian Tube,-0.6663105464166649,-0.7813833213074723,-0.4927605421169274,1.0,1.0,56,1331.0,1.0,0.0
FOSL1,Bone,-0.6627860153787555,-0.8275239947128588,-0.4485241532008364,1.0,1.0,35,1281.0,1.0,0.0
CCNE1,Kidney,-0.6618725246370626,-0.8378502460402277,-0.4293495171864948,1.0,1.0,31,1240.0,1.0,0.0
HNF1B,Soft Tissue,-0.6604867772627779,-0.8172574462032784,-0.4857484747193728,1.0,1.0,45,1489.0,1.0,0.0
MTAP,CNS/Brain,-0.6593188532891818,-0.7782267027061498,-0.5349996037671105,1.0,1.0,82,1271.0,1.0,0.0
FOXA2,Head and Neck,-0.6564932450972729,-0.7967601944308675,-0.5126489888431258,1.0,1.0,61,1356.0,1.0,0.0
SOX2,Soft Tissue,-0.6564231391520094,-0.8253067553449787,-0.4937031450971048,1.0,1.0,45,1108.0,1.0,0.0
CCNE2,Lung,-0.6557734035693535,-0.75198663789136,-0.5458342572046453,1.0,1.0,123,1469.0,1.0,0.0
CCNE2,Uterus,-0.6546512905830673,-0.8283046303472241,-0.4365023089514626,1.0,1.0,34,1259.0,1.0,0.0
CCND1,Bone,-0.653374611908216,-0.8320657382058203,-0.4425363492972284,1.0,1.0,35,1181.0,1.0,0.0
ELMO2,Bladder/Urinary Tract,-0.6521017407304487,-0.838549692399484,-0.4271057612420643,1.0,1.0,34,1303.0,1.0,0.0
SOX2,Myeloid,-0.6520236782048581,-0.8093241986142765,-0.4323175650519007,1.0,1.0,39,1416.0,1.0,0.0
FOXA2,Liver,-0.6478655345659801,-0.8284030530013882,-0.348194674301588,1.0,1.0,24,1337.0,1.0,0.0
MYB,Lymphoid,-0.6476738245189095,-0.7589716894069802,-0.5084603930655822,1.0,1.0,91,1375.0,1.0,0.0
